AddedSqFt,AddressDescription,AppliedDate,COIssuedDate,CompletedDate,Description,EstProjectCost,EstProjectCostDEC,EstProjectCostText,ExpiresDate,Fee,HoldDate,IssuedDate,LastUpdated,Link,MasterPermitNum,NumberOfBathrooms,NumberOfBedrooms,NumberOfUnits,OriginalAddress1,OriginalAddress2,OriginalCity,OriginalState,OriginalZip,PIN,PermitClass,PermitClassMapped,PermitNum,PermitType,PermitTypeDesc,PermitTypeMapped,ProjectID,ProjectName,ProposedUsed,Publisher,StatusCurrent,StatusCurrentMapped,StatusDate,TotalAccSqFt,TotalFinishedSqFt,TotalHeatedSqFt,TotalSqFt,TotalUnHeatedSqFt,TotalUnfinishedSqFt,Units,VoidDate,WorkClass,WorkClassMapped,_id
,001110,2025-04-03,,2025-07-17,install 2 Fabric Shield and 3 EZ Screen hurricane panels,0.0,0.0,0.0,2026-07-17,124.0,,2025-04-03,2025-08-05,https://aca.tampagov.net/citizenaccess/,,,,,403 Osborne Ave W ,,Tampa,FL,33603,1829014GJ000005000250A,Residential,Residential,BTR-25-0605020,Residential Building Trade Permit,,Building,,403 W Osborne Ave (ACA),,TAMPA,Complete,Permit Finaled,2025-07-17,,,,,,,,,,,80424
,001110,2025-04-03,,2025-04-04,"Prune 2 Grand Live Oaks in front of property.
Remove multi Crape Myrtles down right side and rear right close to home.",0.0,0.0,0.0,2025-10-08,124.0,,2025-04-04,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,4516 Vasconia St W ,,Tampa,FL,33629,1829323TJ000000001620A,,,TRE-25-0000647,Tree Removal and Pruning Permit,,Other,,Tree Pruning & Removal: 2-Tree Species,,TAMPA,Complete,Permit Finaled,2025-04-04,,,,,,,,,,,80425
,001110,2025-04-03,,2025-05-12,"Remove and replace 3 windows and 1 entry door, size for size.",0.0,0.0,0.0,2026-05-12,124.0,,2025-04-03,2025-05-15,https://aca.tampagov.net/citizenaccess/,,,,,1006 Woodlawn Ave W ,,Tampa,FL,33603,1829114HD000031000040A,Residential,Residential,BTR-25-0605027,Residential Building Trade Permit,,Building,,1006 W Woodlawn Ave (ACA),,TAMPA,Complete,Permit Finaled,2025-05-12,,,,,,,,,,,80426
,001110,2025-04-03,2025-05-08,2025-05-08,screen enclosure mono slab,0.0,0.0,0.0,2025-11-10,324.74,,2025-04-14,2025-05-11,https://aca.tampagov.net/citizenaccess/,,,,,19233 Verdant Pasture Way  ,,Tampa,FL,33647,2027039VWA00000000010A,Residential,Residential,BLD-25-0515086,Residential Miscellaneous Permit,,Other,,Screen Enclosure over Mono Slab,,TAMPA,Complete,Permit Finaled,2025-05-08,,,,1200,,,,,,,80427
,001110,2025-04-03,,2025-04-21,REMOVE EXISTING ROOF SYSTEM DOWN TO WOOD DECK. REPLACE WITH APOC ROOFING UNDERLAYMENT & NEW CERTAINTEED SHINGLES.,0.0,0.0,0.0,2026-04-21,181.43,,2025-04-03,2025-04-27,https://aca.tampagov.net/citizenaccess/,,,,,18129 Heron Walk Dr  ,,Tampa,FL,33647,20271622L000006000490A,Residential,Residential,BTR-25-0605029,Residential Roof Trade Permit,,Roof,,18129 Heron Walk Dr (ACA),,TAMPA,Complete,Permit Finaled,2025-04-21,,,,,,,,,,,80428
0,001110,2025-04-03,,,"Demo existing SFR home and build new 3,047SF SFR home.",0.0,0.0,0.0,,355.0,,,2025-08-05,https://aca.tampagov.net/citizenaccess/,,,,1,814 Amelia Ave W ,,Tampa,FL,33602,1829144S0G00000000100A,Residential,Residential,UTL-25-0000648,Residential Utility Application,,Other,,814 W Amelia Ave (ACA),,TAMPA,In Process,In Review,2025-04-23,,,,,,,,,,,80429
,001110,2025-04-03,,2025-07-07,replace 4 windows size for size impact glass,0.0,0.0,0.0,2026-07-07,124.0,,2025-04-03,2025-08-05,https://aca.tampagov.net/citizenaccess/,,,,,3024 Norfolk St E ,,Tampa,FL,33610,19282946I000002000230A,Residential,Residential,BTR-25-0605037,Residential Building Trade Permit,,Building,,3024 E Norfolk St (ACA),,TAMPA,Complete,Permit Finaled,2025-07-07,,,,,,,,,,,80430
,001110,2025-04-03,,2025-05-28,install battery backup for existing system,0.0,0.0,0.0,2026-05-28,124.0,,2025-04-03,2025-05-29,https://aca.tampagov.net/citizenaccess/,,,,,6214 Church Ave S ,,Tampa,FL,33616,18301641Z000002000080A,Residential,Residential,BTR-25-0605038,Residential Electrical Trade Permit,,Electrical,,6214 S Church Ave (ACA),,TAMPA,Complete,Permit Finaled,2025-05-28,,,,,,,,,,,80431
,,2025-04-03,,2025-04-29,Equal Change-out 2 Ton Standard Vertical in Closet,0.0,0.0,0.0,2026-04-29,290.05,,2025-04-03,2025-05-03,https://aca.tampagov.net/citizenaccess/,,,,1,111 12th St N 1503,,Tampa,FL,33602,1929199DW000000015030A,Commercial,Non-Residential,BTR-25-0605040,Commercial Mechanical Trade Permit,,Mechanical,,111 N 12th St (ACA),,TAMPA,Complete,Permit Finaled,2025-04-29,,,,,,,,,,,80432
,001110,2025-04-03,,2025-07-28,Reroof  9 sq. flat roof with CertainTeed Modified FL2533.1 R32,0.0,0.0,0.0,2026-07-28,181.43,,2025-04-03,2025-08-05,https://aca.tampagov.net/citizenaccess/,,,,,2504 Gardner Ct W ,,Tampa,FL,33611,18301140O000006000055A,Residential,Residential,BTR-25-0605041,Residential Roof Trade Permit,,Roof,,2504 W Gardner Ct (ACA),,TAMPA,Complete,Permit Finaled,2025-07-28,,,,,,,,,,,80433
,001110,2025-04-03,,,"Remove and Replace 25 windows and 1 SGD, Size for size",0.0,0.0,0.0,2026-04-03,124.0,,2025-04-03,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,20264 Ravens End Dr  ,,Tampa,FL,33647,202702971000005000070A,Residential,Residential,BTR-25-0605043,Residential Building Trade Permit,,Building,,20264 Ravens End Dr (ACA),,TAMPA,Issued,Permit Issued,2025-04-03,,,,,,,,,,,80434
,,2025-04-03,,2025-04-07,Temp CO for the Honey Bee located at 2122 S Dale Mabry Hwy Tampa FL 33629  Suite B,0.0,0.0,0.0,2025-10-07,522.75,,,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,2122 Dale Mabry Hwy S -2124,,Tampa,FL,33629,1829283RZ000000000030A,Commercial,Non-Residential,BLD-24-0511425-6,Temporary Certificate of Occupancy,,Other,,Temp CO - For Permit BLD-24-0511425,,TAMPA,Closed,Permit Finaled,2025-04-07,,,,,,,,,,,80435
,001110,2025-04-03,,,replace 6 windows size for size,0.0,0.0,0.0,2026-04-03,124.0,,2025-04-03,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,3911 Palmetto St W ,,Tampa,FL,33607,1829163JP000000000080A,Residential,Residential,BTR-25-0605049,Residential Building Trade Permit,,Building,,3911 W Palmetto St (ACA),,TAMPA,Issued,Permit Issued,2025-04-03,,,,,,,,,,,80436
,,2025-04-03,,2025-07-18,"Roof recover only - No Tear Off -

Install new Firestone 060 TPO with1 Layer PolyISO over existing roofing system per Fl. Product Approval #15894-R21 System #S_M_24",0.0,0.0,0.0,2026-07-18,225.5,,2025-04-03,2025-08-05,https://aca.tampagov.net/citizenaccess/,,,,,5109 Lemon St W ,,Tampa,FL,33609,1829203K6000024000013A,Commercial,Non-Residential,BTR-25-0605050,Commercial Roof Trade Permit,,Roof,,5109 W Lemon St (ACA),,TAMPA,Complete,Permit Finaled,2025-07-18,,,,,,,,,,,80437
,001110,2025-04-03,,2025-04-04,"42"" Grand oak tree needs pruning",0.0,0.0,0.0,2025-10-08,124.0,,2025-04-04,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,7106 Howard Ave N ,,Tampa,FL,33604,1828263G5000016000070A,,,TRE-25-0000649,Tree Removal and Pruning Permit,,Other,,Tree Pruning: Oak (Grand),,TAMPA,Complete,Permit Finaled,2025-04-04,,,,,,,,,,,80438
,001110,2025-04-03,,,"Scope of work includes converting an existing enclosed garage into an outdoor kitchen area. Work involves removing approximately 175 sq. ft. of existing pavers and replacing with new pavers, installing 1x6” paneling on walls and ceiling, and adding Soleic outdoor kitchen millwork with a 36” propane grill, 42” vent hood, 24” bar refrigerator, and stone countertops. The existing subpanel will remain; new light fixtures and dedicated electrical connections for appliances will be installed. Existing footprint remains unchanged.",0.0,0.0,0.0,2026-02-17,384.42,,2025-08-06,2025-08-15,https://aca.tampagov.net/citizenaccess/,,0,0,,3208 Barcelona St W ,,Tampa,FL,33629,1829343U4000045000040A,Residential,Residential,BLD-25-0515087,Residential Building Alterations (Renovations),,Building,,Detached Garage converting to Outdoor Kitchen,,TAMPA,Issued,Permit Issued,2025-08-06,,,,178,,,,,,,80439
,001100,2025-04-03,,2025-04-24,"Framing Plan revision Per Engineering Reports regarding LVL, cantilever, wall, front door. Engineer reports attached and uploaded to the record. Inspector wanted them added to the revision. Thank you.",0.0,0.0,0.0,,205.67,,,2025-04-27,https://aca.tampagov.net/citizenaccess/,,,,,4718 Knights Ave W ,,Tampa,FL,33611,,Revision,,BLD-24-0508195-REV1,Building Plan Revision,,Other,,FEMA Revision 1: Framing Plan Revise,,TAMPA,Complete,Permit Finaled,2025-04-24,,,,,,,,,,,80440
,000000,2025-04-03,,2025-05-07,"Remove and replace 5 windows, Size for size",0.0,0.0,0.0,2026-05-07,124.0,,2025-04-03,2025-05-08,https://aca.tampagov.net/citizenaccess/,,,,,19203 Stone Hedge Dr  ,,Tampa,FL,33647,202704928B00000000010A,Residential,Residential,BTR-25-0605055,Residential Building Trade Permit,,Building,,19203 Stone Hedge Dr (ACA),,TAMPA,Complete,Permit Finaled,2025-05-07,,,,,,,,,,,80441
,001110,2025-04-03,,2025-06-13,replace 13 windows size for size,0.0,0.0,0.0,2026-06-13,124.0,,2025-04-03,2025-08-05,https://aca.tampagov.net/citizenaccess/,,,,,7213 Hammet Rd  ,,Tampa,FL,33647,1927361EH000004000220A,Residential,Residential,BTR-25-0605056,Residential Building Trade Permit,,Building,,7213 Hammet Rd (ACA),,TAMPA,Complete,Permit Finaled,2025-06-13,,,,,,,,,,,80442
,001110,2025-04-03,,2025-05-02,"Remove and remove 2 Entry Doors, Size for size",0.0,0.0,0.0,2026-05-02,124.0,,2025-04-03,2025-05-03,https://aca.tampagov.net/citizenaccess/,,,,,10214 Woodmere Rd N ,,Tampa,FL,33617,19281642X000050000100A,Residential,Residential,BTR-25-0605058,Residential Building Trade Permit,,Building,,10214 N Woodmere Rd (ACA),,TAMPA,Complete,Permit Finaled,2025-05-02,,,,,,,,,,,80443
,001110,2025-04-03,,2025-06-05,"Remove and replace 27 windows and 2 Entry Doors, Size for size",0.0,0.0,0.0,2026-06-05,124.0,,2025-04-03,2025-08-05,https://aca.tampagov.net/citizenaccess/,,,,,20332 Natures Corner Dr  ,,Tampa,FL,33647,202702971000004000170A,Residential,Residential,BTR-25-0605063,Residential Building Trade Permit,,Building,,20332 Natures Corner Dr (ACA),,TAMPA,Complete,Permit Finaled,2025-06-05,,,,,,,,,,,80444
,009995,2025-04-03,,2025-05-08,"Salvation Army - Modification of 2 fire sprinklers for coverage of new floor plan under Florida House bill - 
simplified permitting process for under 20 devices. Plans and submittals will be available at time of 
inspection.",0.0,0.0,0.0,2026-05-08,267.53,,2025-04-03,2025-05-17,https://aca.tampagov.net/citizenaccess/,,,,,1603 Florida Ave N ,,Tampa,FL,33602,1829134XV000004000040A,Commercial,Non-Residential,BTR-25-0605067,Commercial Fire Trade Permit,,Other,,Fire Sprinklers,,TAMPA,Complete,Permit Finaled,2025-05-08,,,,,,,,,,,80445
,001110,2025-04-03,,2025-07-15,install 12 EZ Screen hurricane panels and 3 accordian shutters,0.0,0.0,0.0,2026-07-15,124.0,,2025-04-03,2025-08-05,https://aca.tampagov.net/citizenaccess/,,,,,8312 Summer Grove Rd  ,,Tampa,FL,33647,1927111AF000001000430A,Residential,Residential,BTR-25-0605069,Residential Building Trade Permit,,Building,,8312 Summer Grove Rd (ACA),,TAMPA,Complete,Permit Finaled,2025-07-15,,,,,,,,,,,80446
,001110,2025-04-03,,,REPLACE HVAC LIKE FOR LIKE,0.0,0.0,0.0,2026-04-03,124.0,,2025-04-03,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,2708 Dewey St W ,,Tampa,FL,33607,1829104OX000006000040A,Residential,Residential,BTR-25-0605076,Residential Mechanical Trade Permit,,Mechanical,,2708 W Dewey St (ACA),,TAMPA,Issued,Permit Issued,2025-04-03,,,,,,,,,,,80447
,006700,2025-04-03,,,"This project will consist of installing a temporary covered canopy scaffold system on guideway E, starting at the main terminal of TIA and ending at the respective Airside. The system will be dismantled and removed at the end of our construction project.",0.0,0.0,0.0,2025-12-29,797.45,,2025-06-09,2025-08-05,https://aca.tampagov.net/citizenaccess/,,,,,4100 George J Bean Pkwy  ,,Tampa,FL,33607,182907ZZZ000005454400A,Commercial,Non-Residential,BLD-25-0515093,Commercial Miscellaneous Permit,,Other,,TIA PROJECT:  ASE Canopy Scaffold,,TAMPA,Issued,Permit Issued,2025-06-09,,,,,,,1,,,,80448
,001110,2025-04-03,,2025-04-23,9SQ IKO SHINGLE REROOF (FL30310.1) SELF ADHERING P+S (FL46297.1) + 9SQ TPO REROOF (FL10264.1) (FL17650.1),0.0,0.0,0.0,2026-04-23,181.43,,2025-04-03,2025-04-27,https://aca.tampagov.net/citizenaccess/,,,,,11208 Arden Ave N ,,Tampa,FL,33612,1828133CRF00000000040A,Residential,Residential,BTR-25-0605077,Residential Roof Trade Permit,,Roof,,11208 N Arden Ave (ACA),,TAMPA,Complete,Permit Finaled,2025-04-23,,,,,,,,,,,80449
,,2025-04-03,,2025-04-24,"Bldg E Unit 301
Supply and install One- 2 ton S/C, 14.5 seer2 with 5kw heat like for like change out only",0.0,0.0,0.0,2026-04-24,166.05,,2025-04-03,2025-04-27,https://aca.tampagov.net/citizenaccess/,,,,1,4201 Kenneth Ct  4301,,Tampa,FL,33610,192833ZZZ000005697300A,Commercial,Non-Residential,BTR-25-0605078,Commercial Mechanical Trade Permit,,Mechanical,,4201 Kenneth Ct (ACA),,TAMPA,Complete,Permit Finaled,2025-04-24,,,,,,,,,,,80450
,006370,2025-04-03,,2025-07-17,Reroofing 9sq with Oc Dimensional Shingles FL10674 & Rhino G Underlayment FL32344. Also reroofing 186sq of flat roof with Duro-last Fl16039,0.0,0.0,0.0,2026-04-03,225.5,,2025-04-03,2025-08-05,https://aca.tampagov.net/citizenaccess/,,,,,5409 West Shore Blvd S ,,Tampa,FL,33611,183008ZZZ000005531900A,Commercial,Non-Residential,BTR-25-0605080,Commercial Roof Trade Permit,,Roof,,Re-roofing,,TAMPA,Withdrawn,Permit Cancelled,2025-07-17,,,,,,,,,,,80451
,,2025-04-03,,,"Equal changeout of 4 ton split system. No alterations to existing ductwork, electrical or smoke detectors.",0.0,0.0,0.0,2026-04-03,166.05,,2025-04-03,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,1,533 Howard Ave S 5,,Tampa,FL,33606,1829234SB000010000010A,Commercial,Non-Residential,BTR-25-0605081,Commercial Mechanical Trade Permit,,Mechanical,,533 S Howard Ave (ACA),,TAMPA,Issued,Permit Issued,2025-04-03,,,,,,,,,,,80452
,001100,2025-04-03,,2025-04-08,"RE ROOF 18 TOTAL SQUARES 
15 SQUARES TAMKO ALSPHALT SHINGLE-R1 FL18355R12
 CertainTeed Underlayment Systems NOA No. FL10626-R28
3 SQUARES  GAF Liberty™ SBS Self-Adhering Modified Bitumen Roofing Systems NOA No.: FL 2533-R32  CertainTeed Underlayment Systems NOA No. FL10626-R28",0.0,0.0,0.0,2026-04-08,181.43,,2025-04-03,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,1730 Eldred Dr W ,,Tampa,FL,33603,1829023HR000002000040A,Residential,Residential,BTR-25-0605083,Residential Roof Trade Permit,,Roof,,1730 W Eldred Dr (ACA),,TAMPA,Complete,Permit Finaled,2025-04-08,,,,,,,,,,,80453
,001110,2025-04-03,,2025-07-28,ROOF MOUNTED SOLAR PV SYSTEM INSTALL - 10.66 KW,0.0,0.0,0.0,2026-07-28,124.0,,2025-04-03,2025-08-05,https://aca.tampagov.net/citizenaccess/,,,,,10528 Martinique Isle Dr  ,,Tampa,FL,33647,202716797000001000410A,Residential,Residential,BTR-25-0605086,Residential Electrical Trade Permit,,Electrical,,10528 Martinique Isle Dr (ACA),,TAMPA,Complete,Permit Finaled,2025-07-28,,,,,,,,,,,80454
,001110,2025-04-03,,,New SFR to be constructed,0.0,0.0,0.0,,401.88,,,2025-08-05,https://aca.tampagov.net/citizenaccess/,,,,,4702 Estrella St W ,,Tampa,FL,33629,1829293SL000010000017A,Site Plan Review,,SPR-25-0001562,Site Plan Review,,Other,,SPR - Single Family Residence,,TAMPA,Site Plan Review Complete,Other,2025-06-26,,,,,,,,,,,80622
,001110,2025-04-03,,2025-04-22,Mechanical equal change out of a 2-TON Heat Pump System,0.0,0.0,0.0,2026-04-22,248.0,,2025-04-03,2025-04-26,https://aca.tampagov.net/citizenaccess/,,,,,9503 9th St N ,,Tampa,FL,33612,19281945D000015000020A,Residential,Residential,BTR-25-0605091,Residential Mechanical Trade Permit,,Mechanical,,9503 N 9th St (ACA),,TAMPA,Complete,Permit Finaled,2025-04-22,,,,,,,,,,,80630
,000000,2025-04-03,,,"“Early start for interior, non-structural work Only. No inspections may be scheduled until the permit is issued."" 

Original work description.
Interior renovation",0.0,0.0,0.0,2026-03-01,2367.72,,2025-07-01,2025-08-27,https://aca.tampagov.net/citizenaccess/,,3,,,4040 Boy Scout Blvd W ,,Tampa,FL,33607,1829169TE0000000004A0A,Commercial,Non-Residential,BLD-25-0515090,Commercial Building Alterations (Renovations),,Building,,EARLY START: Interior Alteration - Floors 1 and 2 - PwC Tampa MW2,,TAMPA,Issued,Permit Issued,2025-07-01,,,,7500,,,,,,,80633
,001200,2025-04-03,,,"The scope of work consists of Adding four (4) small 16.1"" x 17.91"" x 9"" antennas on their existing mount which shall be referred to as the Access Point for their Multi-Point Wireless system. These are basically “plug and play” antennas to support Verizon’s internet system so there will be no ground or electrical work involved with this project.",0.0,0.0,0.0,2025-10-11,293.28,,2025-05-05,2025-05-07,https://aca.tampagov.net/citizenaccess/,,,,,2909 Barcelona St W 101-1515,,Tampa,FL,33629,1829343UH000000000430A,Commercial,Non-Residential,BLD-25-0515082,Commercial Miscellaneous Permit,,Other,,Antennas - Verizon - PRESBYTERIAN PALMA CEIA,,TAMPA,Issued,Permit Issued,2025-05-05,,,,4,,,1,,,,80642
,001110,2025-04-03,,,455 sf concrete drive way with drawings at residential home. Building Permit required for compliance CMP-24-0004139,0.0,0.0,0.0,,620.88,,,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,2821 Durham St  ,,Tampa,FL,33605,1929204X6000009000010A,Site Plan Review,,SPR-25-0001546,Site Plan Review,,Other,,CMP-24-0004139,,TAMPA,Awaiting Client Reply,Other,2025-04-08,,,,,,,,,,,80643
,001110,2025-04-03,,2025-04-28,"Remove existing and install new OC Shingles FL#10674.R20, Peel and Stick Underlayment FL#46297.R2, 44sqs, 5/12",0.0,0.0,0.0,2026-04-28,181.43,,2025-04-03,2025-05-03,https://aca.tampagov.net/citizenaccess/,,,,,3317 Dorchester St W ,,Tampa,FL,33611,1830033VU000001000150A,Residential,Residential,BTR-25-0605021,Residential Roof Trade Permit,,Roof,,3317 W Dorchester St (ACA),,TAMPA,Complete,Permit Finaled,2025-04-28,,,,,,,,,,,80653
0,001100,2025-04-03,,,"new 2sty sfr 4 bed 3 bath, front porch, atrium, attached 2 car garage

Site completed: SPR-25-0000434",0.0,0.0,0.0,2026-01-26,2081.92,,2025-05-05,2025-08-05,https://aca.tampagov.net/citizenaccess/,,3,4,1,1517 Escort Ave  ,,Tampa,FL,33610,19283146RU00000000010A,Residential,Residential,BLD-25-0515098,Residential New Construction and Additions (1 and 2 Family),,Other,,New 2 Sty SFR,,TAMPA,Revision,Other,2025-07-23,,,,3618,,,,,,,80657
,001110,2025-04-03,,2025-06-09,"Interior Renovation. Family Room. Bedrooms & Baths.
Kitchen. Closets. Walls Floors & Ceilings. Interior Ilumination & Electrical Outlets. New Interior A/C Ducts
and Equipment",0.0,0.0,0.0,2025-12-06,50.0,,,2025-08-05,https://aca.tampagov.net/citizenaccess/,,4,3,,1912 Dekle Ave W ,,Tampa,FL,33606,1829264TE000020000070A,Residential,Residential,BLD-25-0515094,Residential Building Alterations (Renovations),,Building,,1912 W Dekle Ave (ACA),,TAMPA,Withdrawn,Permit Cancelled,2025-06-09,,,,2120,,,,,,,80677
